fips,Properties in SFHA,"Properties in FSF 100 Year Zone, 2023",100yrpropriskpct_pctchange,100yrpropriskpct_sfha,100yrpropriskpct_fsf,NAME,GEOID
42003451105,0,246,inf,0.0,0.14244354371742907,4511.05,42003451105
42003451300,9,193,20.444444444444446,0.0026034133641886026,0.05582875325426671,4513,42003451300
42003452000,4,390,96.5,0.001171303074670571,0.11420204978038068,4520,42003452000
42003453003,22,116,4.272727272727273,0.021653543307086614,0.1141732283464567,4530.03,42003453003
42003453004,4,205,50.25,0.0014847809948032665,0.07609502598366741,4530.04,42003453004
42003455000,18,217,11.055555555555555,0.0225,0.27125,4550,42003455000
42003456001,35,253,6.228571428571428,0.016619183285849954,0.1201329534662868,4560.01,42003456001
42003456003,45,376,7.355555555555556,0.01240694789081886,0.1036669423766198,4560.03,42003456003
42003456004,2,122,60.00000000000001,0.0009813542688910696,0.05986261040235525,4560.04,42003456004
42003457100,12,116,8.666666666666666,0.016713091922005572,0.1615598885793872,4571,42003457100
42003457200,6,309,50.5,0.0034944670937682005,0.17996505532906232,4572,42003457200
42003458001,19,307,15.157894736842106,0.008991954566966399,0.14529105537150971,4580.01,42003458001
42003458002,29,354,11.206896551724139,0.010833022039596563,0.13223757937990288,4580.02,42003458002
42003459101,0,214,inf,0.0,0.23135135135135135,4591.01,42003459101
42003459102,0,140,inf,0.0,0.0586756077116513,4591.02,42003459102
42003459201,5,360,71.0,0.0015812776723592662,0.11385199240986717,4592.01,42003459201
42003459202,0,0,,0.0,0.0,4592.02,42003459202
42003460001,0,62,inf,0.0,0.026382978723404255,4600.01,42003460001
42003460002,3,120,39.0,0.0017523364485981308,0.07009345794392523,4600.02,42003460002
42003461000,0,689,inf,0.0,0.9425444596443229,4610,42003461000
42003462100,0,476,inf,0.0,0.30709677419354836,4621,42003462100
42003462600,0,414,inf,0.0,0.21506493506493507,4626,42003462600
42003463900,7,499,70.28571428571428,0.005405405405405406,0.3853281853281853,4639,42003463900
42003464300,0,99,inf,0.0,0.06720977596741344,4643,42003464300
42003464400,183,1016,4.551912568306011,0.10905840286054827,0.6054827175208581,4644,42003464400
42003465600,0,158,inf,0.0,0.17439293598233996,4656,42003465600
42003465800,11,150,12.636363636363637,0.006918238993710692,0.09433962264150944,4658,42003465800
42003468700,5,452,89.4,0.004612546125461255,0.41697416974169743,4687,42003468700
42003468800,7,431,60.57142857142858,0.005417956656346749,0.33359133126934987,4688,42003468800
42003468900,0,121,inf,0.0,0.08717579250720461,4689,42003468900
42003469000,1,190,189.0,0.0004269854824935952,0.08112724167378309,4690,42003469000
42003470300,6,101,15.833333333333336,0.0038535645472061657,0.06486833654463713,4703,42003470300
42003470400,1,97,96.0,0.0007097232079489,0.0688431511710433,4704,42003470400
42003470501,0,171,inf,0.0,0.14590443686006827,4705.01,42003470501
42003470502,1,205,204.0,0.0007022471910112359,0.14396067415730338,4705.02,42003470502
42003470600,2,231,114.5,0.0014265335235378032,0.16476462196861627,4706,42003470600
42003471000,0,265,inf,0.0,0.3711484593837535,4710,42003471000
42003472100,0,6,inf,0.0,0.006666666666666667,4721,42003472100
42003472200,0,30,inf,0.0,0.0356718192627824,4722,42003472200
42003472300,0,129,inf,0.0,0.18067226890756302,4723,42003472300
42003472400,0,119,inf,0.0,0.14709517923362175,4724,42003472400
42003473100,0,124,inf,0.0,0.07598039215686274,4731,42003473100
42003473200,0,115,inf,0.0,0.1013215859030837,4732,42003473200
42003473300,0,311,inf,0.0,0.14252978918423465,4733,42003473300
42003473401,0,172,inf,0.0,0.13469068128425998,4734.01,42003473401
42003473402,1,124,123.0,0.0007173601147776184,0.08895265423242468,4734.02,42003473402
42003473500,0,178,inf,0.0,0.12491228070175439,4735,42003473500
42003473601,0,141,inf,0.0,0.1006423982869379,4736.01,42003473601
42003473602,0,140,inf,0.0,0.08838383838383838,4736.02,42003473602
42003474101,22,151,5.863636363636364,0.012709416522241479,0.08723281340265743,4741.01,42003474101
42003474102,6,133,21.166666666666668,0.004045853000674309,0.08968307484828052,4741.02,42003474102
42003474201,6,31,4.166666666666667,0.005905511811023622,0.03051181102362205,4742.01,42003474201
42003474202,0,206,inf,0.0,0.11438089950027762,4742.02,42003474202
42003474203,0,291,inf,0.0,0.15884279475982532,4742.03,42003474203
42003475101,0,207,inf,0.0,0.1211234640140433,4751.01,42003475101
42003475102,0,118,inf,0.0,0.15465268676277852,4751.02,42003475102
42003475200,2,260,129.0,0.0009416195856873823,0.1224105461393597,4752,42003475200
42003475301,0,198,inf,0.0,0.09969788519637462,4753.01,42003475301
42003475303,0,203,inf,0.0,0.11920140927774515,4753.03,42003475303
42003475304,1,311,310.0,0.00048756704046806434,0.151633349585568,4753.04,42003475304
42003475401,0,219,inf,0.0,0.1310592459605027,4754.01,42003475401
42003475402,0,113,inf,0.0,0.09471919530595138,4754.02,42003475402
42003476100,52,439,7.442307692307693,0.02942840973401245,0.2484436898698359,4761,42003476100
42003476200,0,90,inf,0.0,0.054945054945054944,4762,42003476200
42003477100,0,293,inf,0.0,0.16479190101237345,4771,42003477100
42003477200,10,180,16.999999999999996,0.005592841163310962,0.10067114093959731,4772,42003477200
42003477300,0,218,inf,0.0,0.10707269155206287,4773,42003477300
42003478100,0,215,inf,0.0,0.14182058047493404,4781,42003478100
42003478200,0,133,inf,0.0,0.058053251855085114,4782,42003478200
42003479000,0,66,inf,0.0,0.06496062992125984,4790,42003479000
42003480101,8,224,27.0,0.005886681383370125,0.1648270787343635,4801.01,42003480101
42003480102,0,99,inf,0.0,0.07426856714178545,4801.02,42003480102
42003480200,3,181,59.333333333333336,0.001976284584980237,0.11923583662714098,4802,42003480200
42003480300,0,222,inf,0.0,0.1264957264957265,4803,42003480300
42003480400,3,155,50.666666666666664,0.0012998266897746968,0.067157712305026,4804,42003480400
42003481000,0,121,inf,0.0,0.0810448760884126,4810,42003481000
42003482500,2,182,89.99999999999999,0.0014771048744460858,0.1344165435745938,4825,42003482500
42003483800,0,60,inf,0.0,0.037290242386575516,4838,42003483800
42003484300,47,238,4.0638297872340425,0.02802623732856291,0.1419200954084675,4843,42003484300
42003484500,0,200,inf,0.0,0.08456659619450317,4845,42003484500
42003484600,0,40,inf,0.0,0.04145077720207254,4846,42003484600
42003485000,0,72,inf,0.0,0.09742895805142084,4850,42003485000
42003486700,0,100,inf,0.0,0.091324200913242,4867,42003486700
42003486800,0,66,inf,0.0,0.057692307692307696,4868,42003486800
42003486900,0,156,inf,0.0,0.1223529411764706,4869,42003486900
42003487000,0,99,inf,0.0,0.11024498886414254,4870,42003487000
42003488100,0,246,inf,0.0,0.18317200297840655,4881,42003488100
42003488200,0,91,inf,0.0,0.061155913978494625,4882,42003488200
42003488300,0,201,inf,0.0,0.1700507614213198,4883,42003488300
42003488400,0,152,inf,0.0,0.07615230460921844,4884,42003488400
42003488500,1,100,99.00000000000001,0.0006583278472679394,0.06583278472679395,4885,42003488500
42003488600,2,310,154.0,0.0008227067050596463,0.12751953928424517,4886,42003488600
42003489001,0,231,inf,0.0,0.12493239588967009,4890.01,42003489001
42003489002,0,199,inf,0.0,0.1317008603573792,4890.02,42003489002
42003490002,0,311,inf,0.0,0.1251005631536605,4900.02,42003490002
42003490003,3,244,80.33333333333334,0.001924310455420141,0.1565105837075048,4900.03,42003490003
42003490004,1,157,156.0,0.0004608294930875576,0.07235023041474654,4900.04,42003490004
42003491101,9,258,27.666666666666668,0.0029344636452559502,0.08412129116400391,4911.01,42003491101
42003491200,2,172,85.0,0.0018552875695732839,0.15955473098330242,4912,42003491200
42003492700,4,329,81.24999999999999,0.0024706609017912293,0.2032118591723286,4927,42003492700
42003492800,0,130,inf,0.0,0.0621414913957935,4928,42003492800
42003492900,0,69,inf,0.0,0.049927641099855286,4929,42003492900
42003494000,0,391,inf,0.0,0.49619289340101524,4940,42003494000
42003495000,56,692,11.357142857142858,0.024855747891699954,0.3071460275188637,4950,42003495000
42003496101,0,366,inf,0.0,0.22606547251389747,4961.01,42003496101
42003496102,25,630,24.2,0.00944108761329305,0.23791540785498488,4961.02,42003496102
42003496200,31,542,16.483870967741936,0.011131059245960502,0.19461400359066428,4962,42003496200
42003497000,0,165,inf,0.0,0.2197070572569907,4970,42003497000
42003498000,1,57,56.0,0.0007412898443291327,0.04225352112676056,4980,42003498000
42003499300,0,335,inf,0.0,0.31935176358436607,4993,42003499300
42003499400,0,452,inf,0.0,0.3074829931972789,4994,42003499400
42003500300,2,124,61.00000000000001,0.0009657170449058426,0.05987445678416224,5003,42003500300
42003501000,0,135,inf,0.0,0.17857142857142858,5010,42003501000
42003503002,2,319,158.5,0.0006781959986436081,0.10817226178365548,5030.02,42003503002
42003504100,0,187,inf,0.0,0.058273605484574637,5041,42003504100
42003507000,0,61,inf,0.0,0.04991816693944354,5070,42003507000
42003508000,0,447,inf,0.0,0.5028121484814398,5080,42003508000
42003509400,0,798,inf,0.0,0.3465045592705167,5094,42003509400
42003510000,2,78,38.0,0.002430133657351154,0.09477521263669501,5100,42003510000
42003512000,0,169,inf,0.0,0.12754716981132075,5120,42003512000
42003513000,0,162,inf,0.0,0.07890891378470531,5130,42003513000
42003513800,0,952,inf,0.0,0.4791142425767489,5138,42003513800
42003514000,3,317,104.66666666666667,0.0033407572383073497,0.3530066815144766,5140,42003514000
42003515100,0,84,inf,0.0,0.06292134831460675,5151,42003515100
42003515200,0,3,inf,0.0,0.003389830508474576,5152,42003515200
42003515300,2,28,13.0,0.002296211251435132,0.03214695752009185,5153,42003515300
42003515401,0,11,inf,0.0,0.011156186612576065,5154.01,42003515401
42003516100,0,172,inf,0.0,0.2621951219512195,5161,42003516100
42003516200,0,17,inf,0.0,0.023977433004231313,5162,42003516200
42003517000,0,103,inf,0.0,0.09279279279279279,5170,42003517000
42003518001,0,206,inf,0.0,0.12261904761904761,5180.01,42003518001
42003519000,1,306,305.00000000000006,0.0006146281499692685,0.1880762138905962,5190,42003519000
42003520001,0,190,inf,0.0,0.11994949494949494,5200.01,42003520001
42003520002,5,182,35.4,0.0027457440966501922,0.09994508511806699,5200.02,42003520002
42003521100,1,249,248.00000000000003,0.0004952947003467063,0.12332838038632987,5211,42003521100
42003521200,0,174,inf,0.0,0.10229276895943562,5212,42003521200
42003521301,0,72,inf,0.0,0.047872340425531915,5213.01,42003521301
42003521302,0,140,inf,0.0,0.09216589861751152,5213.02,42003521302
42003521401,1,105,104.0,0.0008741258741258741,0.09178321678321678,5214.01,42003521401
42003521402,0,65,inf,0.0,0.03866745984533016,5214.02,42003521402
42003521500,3,203,66.66666666666666,0.001466992665036675,0.09926650366748166,5215,42003521500
42003522000,0,532,inf,0.0,0.35514018691588783,5220,42003522000
42003523100,1,255,253.99999999999997,0.00033909799932180403,0.08646998982706001,5231,42003523100
42003523200,0,253,inf,0.0,0.12974358974358974,5232,42003523200
42003523300,0,135,inf,0.0,0.06951596292481978,5233,42003523300
42003523400,0,366,inf,0.0,0.14981580024559968,5234,42003523400
42003523501,0,165,inf,0.0,0.07902298850574713,5235.01,42003523501
42003523502,0,117,inf,0.0,0.14268292682926828,5235.02,42003523502
42003523600,0,200,inf,0.0,0.09420631182289213,5236,42003523600
42003523701,0,53,inf,0.0,0.026944585663446874,5237.01,42003523701
42003523702,3,156,51.0,0.0013501350135013501,0.0702070207020702,5237.02,42003523702
42003523800,1,217,216.0,0.00043122035360068997,0.09357481673134972,5238,42003523800
42003524000,0,410,inf,0.0,0.36804308797127466,5240,42003524000
42003525100,1,258,257.0,0.0009652509652509653,0.24903474903474904,5251,42003525100
42003525200,0,465,inf,0.0,0.5266138165345413,5252,42003525200
42003525300,0,124,inf,0.0,0.13247863247863248,5253,42003525300
42003526101,2,399,198.5,0.0005991611743559018,0.1195326542840024,5261.01,42003526101
42003526102,0,72,inf,0.0,0.06321334503950835,5261.02,42003526102
42003526201,0,132,inf,0.0,0.08048780487804878,5262.01,42003526201
42003526202,2,230,114.0,0.0009789525208027412,0.11257953989231523,5262.02,42003526202
42003526301,0,264,inf,0.0,0.1489841986455982,5263.01,42003526301
42003526302,1,261,260.0,0.0006056935190793458,0.15808600847970927,5263.02,42003526302
42003550900,0,181,inf,0.0,0.14848236259228875,5509,42003550900
42003551200,0,125,inf,0.0,0.08852691218130311,5512,42003551200
42003551300,8,172,20.5,0.005405405405405406,0.11621621621621622,5513,42003551300
42003551900,8,416,51.0,0.00909090909090909,0.4727272727272727,5519,42003551900
42003552000,0,100,inf,0.0,0.0794912559618442,5520,42003552000
42003552100,0,247,inf,0.0,0.3122629582806574,5521,42003552100
42003552200,0,487,inf,0.0,0.5546697038724373,5522,42003552200
42003552300,0,129,inf,0.0,0.07337883959044368,5523,42003552300
42003552400,11,413,36.54545454545455,0.0058729311265349705,0.2205018686599039,5524,42003552400
42003560400,0,82,inf,0.0,0.1782608695652174,5604,42003560400
42003560500,0,176,inf,0.0,0.21230398069963813,5605,42003560500
42003561400,0,266,inf,0.0,0.16389402341343193,5614,42003561400
42003561500,0,286,inf,0.0,0.17886178861788618,5615,42003561500
42003561900,0,254,inf,0.0,0.17024128686327078,5619,42003561900
42003562000,0,29,inf,0.0,0.052346570397111915,5620,42003562000
42003562300,0,505,inf,0.0,0.23271889400921658,5623,42003562300
42003562400,2,149,73.5,0.0008845643520566122,0.0659000442282176,5624,42003562400
42003562500,0,332,inf,0.0,0.16658304064224785,5625,42003562500
42003562600,4,461,114.25,0.001990049751243781,0.22935323383084577,5626,42003562600
42003562700,0,75,inf,0.0,0.21551724137931033,5627,42003562700
42003562800,0,182,inf,0.0,0.24528301886792453,5628,42003562800
42003562901,0,255,inf,0.0,0.1693227091633466,5629.01,42003562901
42003563000,0,95,inf,0.0,0.06954612005856516,5630,42003563000
42003563100,0,105,inf,0.0,0.05340793489318413,5631,42003563100
42003563201,0,228,inf,0.0,1.0,5632.01,42003563201
42003563202,0,291,inf,0.0,0.22734375,5632.02,42003563202
42003563300,0,78,inf,0.0,0.10090556274256145,5633,42003563300
42003563800,2,364,181.0,0.0010005002501250625,0.18209104552276137,5638,42003563800
42003563900,0,284,inf,0.0,0.13271028037383178,5639,42003563900
42003564000,15,584,37.93333333333334,0.004158580537843083,0.16190740227335737,5640,42003564000
42003564100,1,28,27.0,0.0019230769230769232,0.05384615384615385,5641,42003564100
42003564200,0,355,inf,0.0,0.2574329224075417,5642,42003564200
42003564400,8,491,60.375,0.0020629190304280558,0.12661165549252193,5644,42003564400
42003564500,2,607,302.5,0.0010240655401945725,0.31080389144905274,5645,42003564500
42003564700,0,459,inf,0.0,0.3253012048192771,5647,42003564700
42003564800,0,103,inf,0.0,0.0766939687267312,5648,42003564800
