fips,City FIPS,City Name,State,Total Properties,Depth_1in100_NOAA,Depth_1in100_FSF2023,Depth_1in100_FSF2053,RP_1in10_FSF2023,RP_1in20_FSF2023,RP_1in50_FSF2023,RP_1in100_FSF2023,RP_1in10_FSF2053,RP_1in20_FSF2053,RP_1in50_FSF2053,RP_1in100_FSF2053,Properties in SFHA,"Properties in FSF 100 Year Zone, 2023","Properties in FSF 100 Year Zone, 2053",Properties in FSF 100 Year Zone but Not in FEMA SFHA,"Properties in FSF 100 Year Zone but Not in FEMA SFHA, Primary Flood Source is Pluvial",Properties in FEMA SFHA but not FSF 100 Year Zone
4274184,4274184,Stillwater,pa,156,59.6,103.2,105.5,3.5,5.7,7.7,12.1,2.7,5.1,7.1,11.1,55,83,84,35,19,7
4274224,4274224,Stockdale,pa,276,64,81.5,83.8,6,13,20,36,5,12,18,32,162,268,268,107,0,1
4274232,4274232,Stockertown,pa,382,74,126.2,130.6,2,5,8,14,2,5,7,12,10,50,50,40,19,0
4274288,4274288,Stoneboro,pa,603,67,85.6,88.8,6,14,20.7,35.3,5,12,17.7,30.3,59,62,62,25,25,22
4274360,4274360,Stonerstown,pa,239,68,93,96.3,4,9,15,27,3,8,13,23,6,21,22,15,9,0
4274416,4274416,Stonybrook,pa,1154,70,124,127,2,4.4,6.4,10.4,2,4,5.4,9.4,5,70,70,65,65,0
4274448,4274448,Stony Creek Mills,pa,464,68,123.4,127,3,5,7,10,2,5,6,9,40,188,190,148,148,0
4274544,4274544,Stormstown,pa,969,67.1,95.3,98,3.9,8.9,13.2,24.1,3.8,7.9,11.9,21.2,3,95,95,92,92,0
4274568,4274568,Stouchsburg,pa,235,69,124.6,127.8,2.5,4.5,7,10.5,2.5,4.5,6.5,10,0,17,20,17,16,0
4274660,4274660,Stowe,pa,1478,69.3,120.9,125.2,3,6,8,12.3,3,5,7,10.5,2,114,115,113,109,1
4274672,4274672,Stoystown,pa,190,67,82.3,84.7,6,14,22,42,5,12,20,37,0,12,12,12,12,0
4274712,4274712,Strasburg,pa,1182,70,123.4,126.7,2.7,4.7,6.7,11,2,4.3,6,10,0,15,15,15,15,0
4274728,4274728,Strattanville,pa,278,66,78.7,81.6,10,20,29,49,8,17,24,42,0,8,8,8,8,0
