fips,City FIPS,City Name,State,Total Properties,Depth_1in100_NOAA,Depth_1in100_FSF2023,Depth_1in100_FSF2053,RP_1in10_FSF2023,RP_1in20_FSF2023,RP_1in50_FSF2023,RP_1in100_FSF2023,RP_1in10_FSF2053,RP_1in20_FSF2053,RP_1in50_FSF2053,RP_1in100_FSF2053,Properties in SFHA,"Properties in FSF 100 Year Zone, 2023","Properties in FSF 100 Year Zone, 2053",Properties in FSF 100 Year Zone but Not in FEMA SFHA,"Properties in FSF 100 Year Zone but Not in FEMA SFHA, Primary Flood Source is Pluvial",Properties in FEMA SFHA but not FSF 100 Year Zone
4280896,4280896,Wanamie,pa,352,63.8,103,105.6,3.5,7,10,16.8,3,6,9,14.8,1,34,34,33,33,0
4280962,4280962,Warminster Heights,pa,375,74,119,123.9,4,8,11,17,4,7,9,14,1,6,6,5,5,0
4281000,4281000,Warren,pa,4287,64,82.2,85.1,7,14,21,36,6,12,18,31.6,44,1375,1383,1333,284,2
4281080,4281080,Warrior Run,pa,326,65.3,105.6,108.5,3.3,6.7,9.7,17.3,3.3,6,8.7,15.3,0,38,38,38,38,0
4281328,4281328,Washington,pa,5912,65,88.6,91.6,4.8,9.8,15.1,26.8,4,8.8,12.8,23.3,178,767,801,597,580,8
4281360,4281360,Washington Boro,pa,343,69.1,130.1,133.3,2,3,5,8,2,3,4.5,7.1,50,178,182,128,3,0
4281424,4281424,Washingtonville,pa,75,58,104.6,107,3,5,6,10,2,4,6,9,15,15,16,2,0,2
4281456,4281456,Waterford,pa,652,67,74.4,77.1,12.7,25,36,65.7,11,21.3,31,57,52,50,48,4,2,6
4281616,4281616,Watsontown,pa,865,58,103.2,106,3,5,6,10,2,4,6,9,89,199,211,137,14,27
4281648,4281648,Wattsburg,pa,184,66,79.7,82.6,9,19,27,47,7,16,24,40,97,43,43,1,0,55
4281664,4281664,Waverly,pa,310,59,102.1,105.2,3,5,8,13,2.2,5,7,11,0,10,10,10,10,0
4281712,4281712,Waymart,pa,682,59.5,106.5,110,2.3,5,6.9,11,2,4,6,9.9,14,116,117,105,105,3
4281752,4281752,Wayne,pa,2433,72.3,128.6,133.7,3,5.7,7.7,11.7,2.7,4.7,6.7,10,114,310,317,209,209,13
4281808,4281808,Wayne Heights,pa,1032,75.4,109.1,112.6,3,8,12,22.3,3,7,10,19.4,7,177,178,170,152,0
4281824,4281824,Waynesboro,pa,3994,74.7,107.4,110.9,3.5,8,12,22.6,3,7,10,19.6,2,580,606,578,570,0
4281832,4281832,Waynesburg,pa,1846,64,93.8,96.6,3,8,11,19,3,7,10,17,124,339,339,216,182,1
4281856,4281856,Weatherly,pa,1220,75.5,127.4,131,2.5,5.4,7.7,14,2,5,7,12.9,27,209,209,182,128,0
4281936,4281936,Webster,pa,195,64,92.4,94.9,4,8,12,21,3,7,11,19,67,142,142,75,4,0
4281960,4281960,Weedville,pa,389,64,83.5,86.2,5,11.3,17.3,33.3,5,10,15,29.3,22,51,52,29,26,0
4282008,4282008,Weigelstown,pa,5086,70,118.4,121.5,2.4,5.4,7.8,12.3,2.3,4.4,6.8,11.3,63,428,446,365,344,0
4282080,4282080,Weissport,pa,181,76.9,130.7,134.8,2,5,7.9,13.9,2,4,6.9,12,178,179,180,1,0,0
4282088,4282088,Weissport East,pa,922,76.9,130.2,134.4,2,5,7.9,13.9,2,4,6.9,12.6,22,179,182,158,137,1
4282128,4282128,Wellersburg,pa,157,64,84.6,87,4.3,9.3,15.3,29.5,3.3,8.3,13.3,26.3,5,46,50,41,41,0
4282160,4282160,Wellsboro,pa,1598,56.5,86.5,89.9,2.9,5.9,9.9,17.9,2,5,8.4,15.3,49,436,442,391,340,4
4282200,4282200,Wellsville,pa,129,71,114.7,117.6,3,6,8.6,15,3,5,8,13.6,0,5,5,5,5,0
4282296,4282296,Wernersville,pa,960,68,129,132.2,2,4,6,9,2,4,5,8,1,92,93,91,91,0
4282320,4282320,Wescosville,pa,2047,70,111.7,115.5,4.3,8.3,11.3,17.6,4,7.3,10,15.6,0,144,149,144,144,0
4282344,4282344,Wesleyville,pa,1205,66,83,86,7,15,22,39,6,13,19,34,4,58,61,56,56,2
4282376,4282376,West Alexander,pa,346,66,83.9,87.3,6.5,13.5,20,35.5,5.5,11.5,17,29.5,0,14,14,14,14,0
4282616,4282616,West Brownsville,pa,874,63.7,81.7,84,6,13,19.8,34.7,5,11.8,17.8,31,168,317,316,149,9,0
4282704,4282704,West Chester,pa,4095,73,132.4,137.2,2.6,4.9,6.6,10.3,2,4,5.6,8.6,67,555,565,490,490,2
4282736,4282736,West Conshohocken,pa,896,73,118.7,123.3,4.3,7.3,10.3,16.7,3.3,6.3,9.3,13.7,10,166,168,156,138,0
4282792,4282792,West Decatur,pa,336,65,93.3,96.1,3.8,7.8,11.8,22.4,3,6.8,10.6,19.6,6,73,74,67,67,0
4282832,4282832,West Easton,pa,580,72.5,134.5,139.9,2,4,6,10,2,4,5,8.5,19,96,97,77,37,0
4282848,4282848,West Elizabeth,pa,328,65,91.9,94.6,4,9,13,23.7,4,8,11.9,20.7,0,311,311,311,0,0
4282920,4282920,West Fairview,pa,547,70,117.8,120.6,3,5,7,13,2,5,6,12,35,284,291,249,0,0
4282952,4282952,West Falls,pa,370,57,97.5,100.1,2.4,5.4,7.8,13.2,2.4,5.4,6.8,11.8,195,283,284,88,1,0
4282968,4282968,Westfield,pa,510,60,89,92.4,3,7,11,20,3,6,9,17,108,250,250,142,34,0
4283104,4283104,West Grove,pa,900,73,128.1,132.1,2.8,5,7,11,2,4,6,9.8,0,57,59,57,57,0
4283120,4283120,West Hamburg,pa,571,69,125.5,128.8,3,5,7,10,2,4,6,9.6,7,47,47,41,37,1
4283136,4283136,West Hazleton,pa,1748,71.3,113.9,116.8,4,7,10.3,17.3,3,6.6,9.3,16.1,4,62,76,58,54,0
4283172,4283172,West Hills,pa,676,66,96.9,100.3,3.8,7.8,11.8,20.5,3,6.8,10.7,17.7,7,77,77,70,57,0
4283200,4283200,West Homestead,pa,1354,65,93.3,96.1,4,8,12.5,21.5,3,7,11,19.5,2,182,189,180,97,0
4283248,4283248,West Kittanning,pa,620,66,97.9,101.4,3.5,7.5,11.5,19.5,3,6.5,10,17,0,26,27,26,26,0
4283272,4283272,Westland,pa,117,65,81.8,85,6.4,14.6,21.1,37.7,5.4,12.4,17.9,32.3,2,42,43,40,40,0
4283280,4283280,West Lawn,pa,723,68,130.2,134,2,4,6,9,2,4,5,8,0,118,119,118,118,0
4283328,4283328,West Leechburg,pa,712,66,94.1,96.9,4,9,14,23,3.8,8,12,21,0,39,38,39,26,0
4283376,4283376,West Liberty,pa,226,66,81.9,85.2,7.8,15.5,23.3,40.8,6.8,13.5,20.1,34.6,21,27,27,12,9,6
4283472,4283472,West Mayfield,pa,646,65,95.4,99.4,3,7,11,19,3,6,9,16,6,35,36,29,29,0
4283496,4283496,West Middlesex,pa,448,66,82.1,85.5,7,15,23,39,6,13,19,33,0,45,46,45,17,0
4283504,4283504,West Middletown,pa,116,66,86.7,89.8,5,12,18,31,4,10,15,27,0,1,2,1,1,0
4283512,4283512,West Mifflin,pa,9959,65,93.7,96.5,4,8,12.1,21.2,3,7,10.9,19.1,3,1100,1120,1098,1081,1
4283520,4283520,West Milton,pa,376,59,110.6,113.5,2,4,5,8,2,3.8,5,7,10,66,68,60,50,4
4283584,4283584,Westmont,pa,2372,69.9,89.5,92.1,4.9,11.4,18.3,35.6,4.6,9.9,16,31.2,0,117,118,117,117,0
4283656,4283656,West Nanticoke,pa,619,62.3,99.2,101.7,4,7,11,17.3,3.7,7,10,16,207,341,344,135,43,1
4283680,4283680,West Newton,pa,1414,64,87.4,89.9,5.7,11.7,16.7,27.4,4.7,9.7,14.7,24.4,325,524,523,203,75,4
4283720,4283720,Weston,pa,236,68.7,116.7,119.6,3,5.7,7.7,14,2.7,5,7.7,12.7,4,72,72,68,68,0
4283736,4283736,Westover,pa,277,66,80.5,83,7.9,17,25,43.7,7,15,22,38.7,69,105,106,38,34,2
4283848,4283848,West Pittsburg,pa,1117,65,90,93.7,4.5,9,14,25,3.5,7.5,12,21,0,0,0,0,0,0
4283856,4283856,West Pittston,pa,2096,57.8,91,93.4,4,8,10.8,18.6,3,7,9.8,16.8,235,1092,1116,858,88,1
4283928,4283928,West Reading,pa,1545,68,129.9,133.7,2,4,5,8,2,3.7,5,8,8,55,55,47,26,0
4284064,4284064,West Sunbury,pa,105,66,79.5,82.6,9,18,27,46,8,15,23,39,0,0,0,0,0,0
4284144,4284144,West View,pa,3051,65,96.3,99.8,3,7,10.8,18.8,3,6,9,15.8,0,265,275,265,265,0
4284176,4284176,West Waynesburg,pa,274,64.3,92.5,95.2,4,8,12.5,20.8,3,7,11,18.5,11,44,40,33,14,0
4284240,4284240,Westwood,pa,1087,70,92,94.6,4,10,16,32,4,9,14,28,8,107,107,99,99,0
4284248,4284248,Westwood,pa,531,71,124,127.9,3,5.3,7.3,11.3,2.3,5,6.3,10.3,26,158,160,132,132,0
4284272,4284272,West Wyoming,pa,1535,59.6,91.4,93.8,4.5,8.6,12.6,20.6,4,7.6,11.6,18.6,92,647,658,562,318,7
4284280,4284280,West Wyomissing,pa,1505,68,130.2,133.8,2,4,6,9,2,4,5,8,5,360,362,355,355,0
4284288,4284288,West York,pa,1734,70,123,126.2,2,4,6,11,2,4,6,10,0,305,307,305,305,0
4284376,4284376,Wheatland,pa,507,66,95.5,99.4,3.8,8,12,21,3,7,10,17,10,64,64,54,9,0
4284440,4284440,Whitaker,pa,739,65,94.3,97.1,4,8,12,20.4,3,7,10.4,18.4,0,72,73,72,68,0
4284512,4284512,Whitehall,pa,5602,65,92,94.8,4,8.8,13.1,23.1,3.8,7.8,11.6,20.5,10,691,783,681,681,0
4284552,4284552,White Haven,pa,647,73.7,110.7,113.8,4,7.7,11.7,22,3,6.7,10.7,20,2,88,101,86,80,0
4284696,4284696,White Mills,pa,307,61.8,103.7,107.4,3,5,8,14.8,2,5,7,12.8,6,39,39,36,29,3
4284704,4284704,White Oak,pa,4076,64.2,93,95.8,4,8.9,13,21.2,3.9,7.9,11,18.5,2,537,561,535,534,0
4284856,4284856,Whitfield,pa,1771,68,130.3,133.7,2,4,6,9,2,3,5,8,2,242,245,240,240,0
4284931,4284931,Wickerham Manor-Fisher,pa,1008,64,89.6,92.1,3.9,9.3,14.1,24.3,3.9,8.3,12.1,21.4,2,35,35,33,16,0
4284968,4284968,Wiconsico,pa,635,66,130.6,133.4,2,3,4,7,2,2,4,6,15,46,49,34,28,3
4285076,4285076,Wilburton Number One,pa,137,63.4,111.5,113.9,3,5,7,11.4,2,5,6.4,10.4,0,0,0,0,0,0
4285078,4285078,Wilburton Number Two,pa,56,64,108.7,111,3,6,8,13,3,5,7,12,0,1,1,1,1,0
4285088,4285088,Wilcox,pa,263,63,81.2,84,6,13,20,35,5,11,17,30,56,99,100,43,19,0
4285152,4285152,Wilkes-Barre,pa,15844,63.5,94,96.5,4.7,9.3,13.6,23.7,4.4,8.3,12.2,21.5,1081,4530,4665,3546,1198,97
4285188,4285188,Wilkinsburg,pa,7265,65,96.5,99.4,3.4,7.4,10.8,18.8,3,6.4,9.4,16.8,0,1372,1389,1372,1372,0
4285272,4285272,Williamsburg,pa,557,68,88.9,91.7,5,11,18,33,4,10,16,29,60,181,184,121,76,0
4285312,4285312,Williamsport,pa,9425,58.8,102.1,105.3,3,5.3,7.3,11,2.4,4.4,6.3,9.9,26,3049,3118,3024,581,1
4285320,4285320,Williamstown,pa,687,66,128.9,131.7,2,3,4,7,2,3,4,7,5,101,101,98,77,2
4285408,4285408,Willow Grove,pa,4751,74.5,121.4,126.4,4,7.5,10.1,16.1,3.1,6.5,8.5,13.7,25,262,270,239,239,2
4285464,4285464,Willow Street,pa,2056,70,132.6,135.8,2,3.2,5,8.2,2,3,4,7.2,3,139,144,136,135,0
4285496,4285496,Wilmerding,pa,889,65,94.5,97.3,4,8,12,21,3,7,10,18,0,447,446,447,77,0
4285528,4285528,Wilmore,pa,164,69,83.9,86.5,7,15,24,44,6,13,21,38,52,119,120,67,1,0
4285592,4285592,Wilson,pa,2916,72.6,133.8,139.1,2,4.2,6.2,10.4,2,4,5.2,8.8,3,73,73,70,68,0
4285632,4285632,Windber,pa,2199,68,80.3,82.7,7.6,17.1,26.7,49.4,6.6,15.1,23.7,43.9,216,576,580,363,93,3
4285664,4285664,Wind Gap,pa,1000,76,116,120.1,4,8,12,21,3,7,10,19,7,84,89,78,78,1
4285712,4285712,Wind Ridge,pa,173,66,80.6,83.3,7.7,16.4,24.2,42.5,6.8,14.4,21.1,36.6,0,4,4,4,4,0
4285728,4285728,Windsor,pa,508,70.5,123.4,126.4,2,5,7,10.5,2,4,6,9.5,28,260,259,232,232,0
4285792,4285792,Winfield,pa,571,61,112,114.7,2.3,3.9,5.8,8.8,2,3.9,5.3,8.3,91,164,166,73,38,0
4285872,4285872,Winterstown,pa,269,71.5,133.2,136.4,2,3.1,5,8,2,3,4.1,7.5,0,16,16,16,16,0
4285968,4285968,Witmer,pa,169,70,122.4,125.6,3,5,7,12,2,4,6,10,0,2,2,2,2,0
4286000,4286000,Wolfdale,pa,1201,65,84.6,87.6,6.1,12.2,18.4,32.4,5.1,10.3,16.1,28.2,23,144,145,121,120,0
4286056,4286056,Womelsdorf,pa,1005,69,128.6,131.8,2,4,6,9,2,4,5.3,8.3,1,138,139,137,135,0
4286112,4286112,Woodbourne,pa,1124,76.4,114.6,119.4,5,10,13.4,22.4,4,8,11.4,19,3,40,41,37,37,0
4286128,4286128,Woodbury,pa,163,67,82.4,85.3,7,15,23,42,6,13,20,36,2,32,32,30,18,0
4286160,4286160,Woodcock,pa,79,67,84.2,87.2,7,16,23,39,6,14,20,34,1,7,7,6,6,0
4286224,4286224,Woodland Heights,pa,689,66,86.7,90.1,6,13,19,33,5,11,16,28,41,129,129,88,82,0
4286288,4286288,Woodlyn,pa,3525,73,117.2,121.8,4,7.9,10.9,16,3,6.9,9,14,23,227,252,207,161,3
4286352,4286352,Woodside,pa,812,76,114.7,119.5,5,10,13,21.7,4,8,11,18.7,0,14,15,14,14,0
4286432,4286432,Woodward,pa,99,72.4,110.3,113.4,3.7,7.5,11,18.5,3,6.5,9.6,16.5,3,18,18,15,12,0
4286472,4286472,Woolrich,pa,592,58,96,99.2,3,6,9,13.4,3,5.4,8,12,70,297,300,245,74,18
4286480,4286480,Wopsononock,pa,106,67.5,79.9,82.3,7.5,17.5,26.5,49.5,7,15.5,23.5,43.5,0,0,0,0,0,0
4286528,4286528,Wormleysburg,pa,916,70,117.8,120.6,3,5,7.5,13,2,5,6.5,12,63,503,503,440,20,0
4286560,4286560,Worthington,pa,358,66,90.6,93.8,5,11,16,27,5,9,14,24,6,74,75,68,59,0
4286568,4286568,Worthville,pa,58,66,78,80.8,9,20,29,50,8,17,25,43,5,22,23,17,1,0
4286576,4286576,Woxall,pa,506,70,118.7,123.3,4,7,9,14,3,6,8,12,7,24,24,17,11,0
4286640,4286640,Wrightsville,pa,950,69,123.3,126.3,2,5,6,10,2,4,6,9,20,250,251,230,45,0
4286656,4286656,Wyalusing,pa,327,53,86.8,88.9,3.7,7,9,14,3,6,8,13,8,42,43,34,24,0
4286672,4286672,Wyano,pa,242,65,84.1,86.2,6.4,13.4,19.8,34.2,5.4,11.8,17.8,30.2,5,22,22,17,17,0
4286712,4286712,Wylandville,pa,369,65,88.2,91,5,10,15,27,4,9,13,24,2,31,31,29,28,0
4286744,4286744,Wyncote,pa,904,74.5,124.4,129.6,3,7,9,14.5,3,6,8,12.5,19,162,165,143,143,0
4286776,4286776,Wyndmoor,pa,2160,74,123.7,128.8,3.7,7,9,14.7,3,6,8,12.7,0,123,131,123,123,0
4286856,4286856,Wyoming,pa,1360,59.8,91.5,94,4.2,8.6,12.6,20.8,4,7.6,11.6,18.8,78,122,125,87,73,43
4286880,4286880,Wyomissing,pa,3641,68,129.8,133.6,2,4,5.3,8.3,2,3.5,5,8,20,409,418,389,375,0
4286920,4286920,Yardley,pa,1328,76.2,116.7,121.6,5,9,12.2,20.2,4,8,11,17.2,362,629,631,298,97,31
4286936,4286936,Yarnell,pa,26,64,95.8,98.5,4,8,11,20,3,7,10,17,5,21,21,16,16,0
4286952,4286952,Yatesville,pa,351,59.7,95.1,97.6,4,7,10,17.7,3,6,9,15.7,0,67,67,67,67,0
4286968,4286968,Yeadon,pa,3573,73,118.6,123.5,4,7,10,16,3,6,8,13,3,241,247,238,236,0
4286976,4286976,Yeagertown,pa,522,72,105.7,108.5,3,8,12,21,3,7,10,19,57,83,87,27,21,1
4287006,4287006,Yellow Springs,pa,109,68,93.5,96.1,4,9.5,14.5,26.6,3.5,8.5,13.1,23.6,7,31,33,24,23,0
4287040,4287040,Yoe,pa,312,71,123.9,126.9,2,5,6,11,2,4,6,10,13,96,96,83,83,0
4287048,4287048,York,pa,14745,70,123.2,126.2,2,4,6,10.5,2,4,6,9.5,98,2333,2404,2252,1399,17
4287064,4287064,Yorkana,pa,104,70,124.5,127.5,2,4,6,10,2,4,5,9,0,4,4,4,4,0
4287080,4287080,York Haven,pa,242,69,124.4,127.4,2,4,5.8,9.8,2,3.8,5,8.8,1,32,33,31,24,0
4287088,4287088,Yorklyn,pa,567,70,122.1,125.1,2,5,7,11,2,4,6,10,0,26,27,26,26,0
4287136,4287136,York Springs,pa,186,73,128.6,132.2,2,4,6,11,2,4,5,9,15,54,54,39,39,0
4287208,4287208,Youngstown,pa,203,66,92.2,94.6,4,9,13,25,4,8,12,22,2,31,31,29,27,0
4287224,4287224,Youngsville,pa,820,64,76.4,79.3,9.3,21,30.3,49.3,8,18,26.3,42.3,160,339,350,191,48,12
4287232,4287232,Youngwood,pa,1456,65,93.7,96.1,4,8,12,22,3,7,11,19,16,162,170,146,114,0
4287240,4287240,Yukon,pa,455,65,83,85.1,7,14,21,36,6,13,19,32,53,71,67,26,17,8
4287272,4287272,Zelienople,pa,1583,65,90.3,93.9,4,9,14,25,4,8,12,21,56,200,202,151,147,7
4287320,4287320,Zion,pa,985,66.4,105.1,108,3,6,8.6,15.4,2.2,5,8,14.4,8,109,112,101,101,0
